Date,Accidents
2017-06-07,221
2017-06-08,274
2017-06-09,314
2017-06-10,110
2017-06-11,76
2017-06-12,286
2017-06-13,311
2017-06-14,308
2017-06-15,263
2017-06-16,238
2017-06-17,78
2017-06-18,86
2017-06-19,250
2017-06-20,260
2017-06-21,275
2017-06-22,256
2017-06-23,181
2017-06-24,54
2017-06-25,43
2017-06-26,247
2017-06-27,277
2017-06-28,297
2017-06-29,276
2017-06-30,257
2017-07-01,69
2017-07-02,51
2017-07-03,242
2017-07-04,148
2017-07-05,246
2017-07-06,211
2017-07-07,227
2017-07-08,68
2017-07-09,51
2017-07-10,253
2017-07-11,257
2017-07-12,305
2017-07-13,273
2017-07-14,261
2017-07-15,49
2017-07-16,38
2017-07-17,239
2017-07-18,210
2017-07-19,260
2017-07-20,223
2017-07-21,187
2017-07-22,52
2017-07-23,34
2017-07-24,224
2017-07-25,256
2017-07-26,253
2017-07-27,378
2017-07-28,441
2017-07-29,35
2017-07-30,76
2017-07-31,48
2017-08-01,317
2017-08-02,421
2017-08-03,421
2017-08-04,398
2017-08-05,34
2017-08-06,31
2017-08-07,336
2017-08-08,454
2017-08-09,319
2017-08-10,272
2017-08-11,346
2017-08-12,42
2017-08-13,57
2017-08-14,423
2017-08-15,377
2017-08-16,438
2017-08-17,397
2017-08-18,379
2017-08-19,63
2017-08-20,42
2017-08-21,408
2017-08-22,429
2017-08-23,458
2017-08-24,462
2017-08-25,402
2017-08-26,83
2017-08-27,46
2017-08-28,285
2017-08-29,270
2017-08-30,297
2017-08-31,364
2017-09-01,321
2017-09-02,47
2017-09-03,33
2017-09-04,172
2017-09-05,370
2017-09-06,381
2017-09-07,409
2017-09-08,420
2017-09-09,42
2017-09-10,29
2017-09-11,379
2017-09-12,384
2017-09-13,380
2017-09-14,410
2017-09-15,411
2017-09-16,48
2017-09-17,21
2017-09-18,350
2017-09-19,318
2017-09-20,338
2017-09-21,345
2017-09-22,349
2017-09-23,84
2017-09-24,59
2017-09-25,369
2017-09-26,330
2017-09-27,387
2017-09-28,437
2017-09-29,491
2017-09-30,61
2017-10-01,78
2017-10-02,358
2017-10-03,424
2017-10-04,338
2017-10-05,323
2017-10-06,367
2017-10-07,82
2017-10-08,59
2017-10-09,399
2017-10-10,383
2017-10-11,406
2017-10-12,314
2017-10-13,255
2017-10-14,41
2017-10-15,28
2017-10-16,395
2017-10-17,374
2017-10-18,327
2017-10-19,321
2017-10-20,391
2017-10-21,34
2017-10-22,41
2017-10-23,368
2017-10-24,355
2017-10-25,315
2017-10-26,329
2017-10-27,345
2017-10-28,39
2017-10-29,22
2017-10-30,371
2017-10-31,325
2017-11-01,333
2017-11-02,328
2017-11-03,310
2017-11-04,61
2017-11-05,40
2017-11-06,314
2017-11-07,336
2017-11-08,365
2017-11-09,325
2017-11-10,297
2017-11-11,64
2017-11-12,45
2017-11-13,428
2017-11-14,305
2017-11-15,341
2017-11-16,309
2017-11-17,241
2017-11-18,75
2017-11-19,41
2017-11-20,337
2017-11-21,348
2017-11-22,362
2017-11-23,187
2017-11-24,223
2017-11-25,61
2017-11-26,74
2017-11-27,373
2017-11-28,400
2017-11-29,352
2017-11-30,356
2017-12-01,420
2017-12-02,52
2017-12-03,30
2017-12-04,390
2017-12-05,347
2017-12-06,495
2017-12-07,437
2017-12-08,497
2017-12-09,32
2017-12-10,49
2017-12-11,383
2017-12-12,400
2017-12-13,323
2017-12-14,381
2017-12-15,370
2017-12-16,45
2017-12-17,44
2017-12-18,417
2017-12-19,460
2017-12-20,367
2017-12-21,323
2017-12-22,307
2017-12-23,31
2017-12-24,26
2017-12-25,25
2017-12-26,85
2017-12-27,251
2017-12-28,232
2017-12-29,300
2017-12-30,48
2017-12-31,36
2018-01-01,74
2018-01-02,293
2018-01-03,318
2018-01-04,314
2018-01-05,358
2018-01-06,59
2018-01-07,50
2018-01-08,376
2018-01-09,392
2018-01-10,298
2018-01-11,414
2018-01-12,343
2018-01-13,54
2018-01-14,44
2018-01-15,284
2018-01-16,312
2018-01-17,332
2018-01-18,140
2018-01-19,188
2018-01-20,67
2018-01-21,68
2018-01-22,360
2018-01-23,388
2018-01-24,324
2018-01-25,367
2018-01-26,354
2018-01-27,86
2018-01-28,67
2018-01-29,390
2018-01-30,369
2018-01-31,344
2018-02-01,399
2018-02-02,339
2018-02-03,51
2018-02-04,37
2018-02-05,333
2018-02-06,420
2018-02-07,401
2018-02-08,417
2018-02-09,407
2018-02-10,103
2018-02-11,70
2018-02-12,366
2018-02-13,340
2018-02-14,319
2018-02-15,339
2018-02-16,393
2018-02-17,67
2018-02-18,67
2018-02-19,348
2018-02-20,430
2018-02-21,399
2018-02-22,447
2018-02-23,333
2018-02-24,80
2018-02-25,78
2018-02-26,352
2018-02-27,415
2018-02-28,425
2018-03-01,407
2018-03-02,293
2018-03-03,52
2018-03-04,81
2018-03-05,298
2018-03-06,341
2018-03-07,291
2018-03-08,135
2018-03-09,392
2018-03-10,91
2018-03-11,71
2018-03-12,327
2018-03-13,365
2018-03-14,371
2018-03-15,377
2018-03-16,348
2018-03-17,82
2018-03-18,56
2018-03-19,350
2018-03-20,391
2018-03-21,341
2018-03-22,342
2018-03-23,354
2018-03-24,43
2018-03-25,77
2018-03-26,349
2018-03-27,315
2018-03-28,235
2018-03-29,332
2018-03-30,308
2018-03-31,54
2018-04-01,53
2018-04-02,289
2018-04-03,315
2018-04-04,326
2018-04-05,295
2018-04-06,286
2018-04-07,67
2018-04-08,32
2018-04-09,379
2018-04-10,356
2018-04-11,341
2018-04-12,398
2018-04-13,316
2018-04-14,55
2018-04-15,46
2018-04-16,359
2018-04-17,371
2018-04-18,337
2018-04-19,386
2018-04-20,355
2018-04-21,88
2018-04-22,48
2018-04-23,418
2018-04-24,445
2018-04-25,377
2018-04-26,328
2018-04-27,313
2018-04-28,83
2018-04-29,64
2018-04-30,345
2018-05-01,325
2018-05-02,359
2018-05-03,363
2018-05-04,402
2018-05-05,96
2018-05-06,71
2018-05-07,306
2018-05-08,329
2018-05-09,310
2018-05-10,317
2018-05-11,339
2018-05-12,76
2018-05-13,51
2018-05-14,327
2018-05-15,343
2018-05-16,352
2018-05-17,301
2018-05-18,294
2018-05-19,75
2018-05-20,95
2018-05-21,265
2018-05-22,299
2018-05-23,402
2018-05-24,300
2018-05-25,293
2018-05-26,78
2018-05-27,61
2018-05-28,184
2018-05-29,394
2018-05-30,371
2018-05-31,315
2018-06-01,383
2018-06-02,80
2018-06-03,39
2018-06-04,325
2018-06-05,303
2018-06-06,380
2018-06-07,358
2018-06-08,333
2018-06-09,67
2018-06-10,47
2018-06-11,364
2018-06-12,291
2018-06-13,310
2018-06-14,321
2018-06-15,258
2018-06-16,166
2018-06-17,78
2018-06-18,324
2018-06-19,352
2018-06-20,250
2018-06-21,277
2018-06-22,240
2018-06-23,43
2018-06-24,23
2018-06-25,344
2018-06-26,309
2018-06-27,328
2018-06-28,282
2018-06-29,333
2018-06-30,54
2018-07-01,40
2018-07-02,290
2018-07-03,341
2018-07-04,182
2018-07-05,285
2018-07-06,285
2018-07-07,108
2018-07-08,38
2018-07-09,263
2018-07-10,271
2018-07-11,247
2018-07-12,271
2018-07-13,240
2018-07-14,68
2018-07-15,4
2018-07-16,227
2018-07-17,238
2018-07-18,295
2018-07-19,279
2018-07-20,294
2018-07-21,102
2018-07-22,49
2018-07-23,270
2018-07-24,294
2018-07-25,243
2018-07-26,223
2018-07-27,254
2018-07-28,60
2018-07-29,28
2018-07-30,306
2018-07-31,323
2018-08-01,283
2018-08-02,314
2018-08-03,308
2018-08-04,46
2018-08-05,33
2018-08-06,299
2018-08-07,320
2018-08-08,280
2018-08-09,320
2018-08-10,308
2018-08-11,101
2018-08-12,78
2018-08-13,289
2018-08-14,335
2018-08-15,291
2018-08-16,306
2018-08-17,297
2018-08-18,112
2018-08-19,97
2018-08-20,328
2018-08-21,327
2018-08-22,284
2018-08-23,298
2018-08-24,281
2018-08-25,81
2018-08-26,61
2018-08-27,345
2018-08-28,277
2018-08-29,347
2018-08-30,404
2018-08-31,412
2018-09-01,87
2018-09-02,86
2018-09-03,177
2018-09-04,255
2018-09-05,354
2018-09-06,325
2018-09-07,327
2018-09-08,99
2018-09-09,69
2018-09-10,265
2018-09-11,350
2018-09-12,297
2018-09-13,357
2018-09-14,421
2018-09-15,124
2018-09-16,80
2018-09-17,226
2018-09-18,310
2018-09-19,317
2018-09-20,330
2018-09-21,305
2018-09-22,97
2018-09-23,37
2018-09-24,263
2018-09-25,267
2018-09-26,317
2018-09-27,280
2018-09-28,286
2018-09-29,92
2018-09-30,73
2018-10-01,329
2018-10-02,312
2018-10-03,394
2018-10-04,398
2018-10-05,320
2018-10-06,93
2018-10-07,81
2018-10-08,328
2018-10-09,377
2018-10-10,383
2018-10-11,122
2018-10-12,347
2018-10-13,89
2018-10-14,58
2018-10-15,406
2018-10-16,375
2018-10-17,384
2018-10-18,291
2018-10-19,300
2018-10-20,114
2018-10-21,62
2018-10-22,266
2018-10-23,329
2018-10-24,340
2018-10-25,348
2018-10-26,384
2018-10-27,112
2018-10-28,94
2018-10-29,347
2018-10-30,361
2018-10-31,379
2018-11-01,72
2018-11-02,343
2018-11-03,104
2018-11-04,50
2018-11-05,380
2018-11-06,437
2018-11-07,420
2018-11-08,403
2018-11-09,509
2018-11-10,134
2018-11-11,141
2018-11-12,389
2018-11-13,300
2018-11-14,393
2018-11-15,411
2018-11-16,335
2018-11-17,146
2018-11-18,123
2018-11-19,364
2018-11-20,411
2018-11-21,316
2018-11-22,168
2018-11-23,199
2018-11-24,58
2018-11-25,58
2018-11-26,320
2018-11-27,357
2018-11-28,363
2018-11-29,146
2018-11-30,342
2018-12-01,105
2018-12-02,54
2018-12-03,360
2018-12-04,333
2018-12-05,353
2018-12-06,344
2018-12-07,444
2018-12-08,91
2018-12-09,76
2018-12-10,414
2018-12-11,430
2018-12-12,360
2018-12-13,352
2018-12-14,372
2018-12-15,76
2018-12-16,50
2018-12-17,376
2018-12-18,365
2018-12-19,347
2018-12-20,207
2018-12-21,330
2018-12-22,73
2018-12-23,37
2018-12-24,176
2018-12-25,69
2018-12-26,155
2018-12-27,269
2018-12-28,329
2018-12-29,58
2018-12-30,67
2018-12-31,257
2019-01-01,119
2019-01-02,321
2019-01-03,323
2019-01-04,309
2019-01-05,54
2019-01-06,62
2019-01-07,295
2019-01-08,305
2019-01-09,281
2019-01-10,282
2019-01-11,293
2019-01-12,73
2019-01-13,47
2019-01-14,344
2019-01-15,307
2019-01-16,382
2019-01-17,373
2019-01-18,278
2019-01-19,89
2019-01-20,36
2019-01-21,227
2019-01-22,368
2019-01-23,332
2019-01-24,358
2019-01-25,360
2019-01-26,68
2019-01-27,38
2019-01-28,314
2019-01-29,303
2019-01-30,268
2019-01-31,332
2019-02-01,352
2019-02-02,72
2019-02-03,45
2019-02-04,297
2019-02-05,247
2019-02-06,351
2019-02-07,315
2019-02-08,261
2019-02-09,86
2019-02-10,66
2019-02-11,328
2019-02-12,413
2019-02-13,291
2019-02-14,341
2019-02-15,320
2019-02-16,70
2019-02-17,54
2019-02-18,299
2019-02-19,355
2019-02-20,319
2019-02-21,340
2019-02-22,371
2019-02-23,58
2019-02-24,47
2019-02-25,269
2019-02-26,296
2019-02-27,366
2019-02-28,287
2019-03-01,309
2019-03-02,64
2019-03-03,63
2019-03-04,267
2019-03-05,251
2019-03-06,307
2019-03-07,282
2019-03-08,255
2019-03-09,88
2019-03-10,38
2019-03-11,219
2019-03-12,316
2019-03-13,292
2019-03-14,241
2019-03-15,266
2019-03-16,48
2019-03-17,36
2019-03-18,202
2019-03-19,267
2019-03-20,303
2019-03-21,273
2019-03-22,309
2019-03-23,80
2019-03-24,57
2019-03-25,286
2019-03-26,287
2019-03-27,262
2019-03-28,313
2019-03-29,233
2019-03-30,95
2019-03-31,47
2019-04-01,320
2019-04-02,320
2019-04-03,302
2019-04-04,374
2019-04-05,395
2019-04-06,100
2019-04-07,82
2019-04-08,352
2019-04-09,348
2019-04-10,320
2019-04-11,276
2019-04-12,370
2019-04-13,91
2019-04-14,59
2019-04-15,278
2019-04-16,280
2019-04-17,248
2019-04-18,322
2019-04-19,257
2019-04-20,64
2019-04-21,56
2019-04-22,257
2019-04-23,325
2019-04-24,373
2019-04-25,352
2019-04-26,295
2019-04-27,68
2019-04-28,56
2019-04-29,298
2019-04-30,325
2019-05-01,315
2019-05-02,334
2019-05-03,352
2019-05-04,69
2019-05-05,40
2019-05-06,351
2019-05-07,270
2019-05-08,346
2019-05-09,343
2019-05-10,309
2019-05-11,80
2019-05-12,76
2019-05-13,277
2019-05-14,334
2019-05-15,302
2019-05-16,330
2019-05-17,282
2019-05-18,113
2019-05-19,95
2019-05-20,321
2019-05-21,360
2019-05-22,329
2019-05-23,304
2019-05-24,282
2019-05-25,59
2019-05-26,49
2019-05-27,180
2019-05-28,293
2019-05-29,313
2019-05-30,294
2019-05-31,270
2019-06-01,81
2019-06-02,65
2019-06-03,261
2019-06-04,305
2019-06-05,227
2019-06-06,325
2019-06-07,299
2019-06-08,88
2019-06-09,27
2019-06-10,239
2019-06-11,335
2019-06-12,357
2019-06-13,246
2019-06-14,259
2019-06-15,88
2019-06-16,72
2019-06-17,275
2019-06-18,352
2019-06-19,266
2019-06-20,353
2019-06-21,277
2019-06-22,61
2019-06-23,56
2019-06-24,390
2019-06-25,311
2019-06-26,314
2019-06-27,217
2019-06-28,310
2019-06-29,105
2019-06-30,66
2019-07-01,238
2019-07-02,244
2019-07-03,275
2019-07-04,152
2019-07-05,207
2019-07-06,41
2019-07-07,50
2019-07-08,227
2019-07-09,276
2019-07-10,253
2019-07-11,230
2019-07-12,257
2019-07-13,64
2019-07-14,32
2019-07-15,305
2019-07-16,249
2019-07-17,260
2019-07-18,237
2019-07-19,301
2019-07-20,62
2019-07-21,62
2019-07-22,306
2019-07-23,293
2019-07-24,378
2019-07-25,318
2019-07-26,247
2019-07-27,77
2019-07-28,50
2019-07-29,246
2019-07-30,296
2019-07-31,322
2019-08-01,359
2019-08-02,272
2019-08-03,111
2019-08-04,90
2019-08-05,247
2019-08-06,283
2019-08-07,232
2019-08-08,255
2019-08-09,296
2019-08-10,63
2019-08-11,65
2019-08-12,333
2019-08-13,332
2019-08-14,343
2019-08-15,303
2019-08-16,327
2019-08-17,80
2019-08-18,70
2019-08-19,248
2019-08-20,343
2019-08-21,249
2019-08-22,357
2019-08-23,279
2019-08-25,54
2019-08-26,368
2019-08-27,392
2019-08-28,300
2019-08-29,270
2019-08-30,379
2019-08-31,71
2019-09-01,59
2019-09-02,196
2019-09-03,360
2019-09-04,287
2019-09-05,314
2019-09-06,292
2019-09-07,167
2019-09-08,52
2019-09-09,375
2019-09-10,270
2019-09-11,327
2019-09-12,268
2019-09-13,298
2019-09-14,53
2019-09-15,69
2019-09-16,343
2019-09-17,349
2019-09-18,249
2019-09-19,79
2019-09-20,271
2019-09-21,62
2019-09-22,31
2019-09-23,344
2019-09-24,252
2019-09-25,323
2019-09-26,289
2019-09-27,255
2019-09-28,57
2019-09-29,43
2019-09-30,385
2019-10-01,321
2019-10-02,310
2019-10-03,391
2019-10-04,383
2019-10-05,54
2019-10-06,57
2019-10-07,339
2019-10-08,385
2019-10-09,332
2019-10-10,410
2019-10-11,338
2019-10-12,53
2019-10-13,95
2019-10-14,391
2019-10-15,351
2019-10-16,411
2019-10-17,351
2019-10-18,352
2019-10-19,52
2019-10-20,50
2019-10-21,358
2019-10-22,429
2019-10-23,364
2019-10-24,364
2019-10-25,316
2019-10-26,64
2019-10-27,44
2019-10-28,341
2019-10-29,351
2019-10-30,342
2019-10-31,262
2019-11-01,380
2019-11-02,51
2019-11-03,48
2019-11-04,324
2019-11-05,326
2019-11-06,300
2019-11-07,367
2019-11-08,341
2019-11-09,70
2019-11-10,43
2019-11-11,262
2019-11-12,309
2019-11-13,346
2019-11-14,337
2019-11-15,306
2019-11-16,75
2019-11-17,55
2019-11-18,323
2019-11-19,308
2019-11-20,299
2019-11-21,291
2019-11-22,311
2019-11-23,73
2019-11-24,43
2019-11-25,321
2019-11-26,287
2019-11-27,308
2019-11-28,94
2019-11-29,241
2019-11-30,66
2019-12-01,36
2019-12-02,283
2019-12-03,270
2019-12-04,336
2019-12-05,294
2019-12-06,338
2019-12-07,76
2019-12-08,60
2019-12-09,273
2019-12-10,406
2019-12-11,319
2019-12-12,341
2019-12-13,290
2019-12-14,94
2019-12-15,57
2019-12-16,230
2019-12-17,308
2019-12-18,248
2019-12-19,298
2019-12-20,229
2019-12-21,47
2019-12-22,45
2019-12-23,250
2019-12-24,191
2019-12-25,55
2019-12-26,85
2019-12-27,177
2019-12-28,103
2019-12-29,60
2019-12-30,192
2019-12-31,158
2020-01-01,117
2020-01-02,183
2020-01-03,196
2020-01-04,49
2020-01-05,44
2020-01-06,220
2020-01-07,232
2020-01-08,186
2020-01-09,203
2020-01-10,247
2020-01-11,29
2020-01-12,40
2020-01-13,280
2020-01-14,337
2020-01-15,390
2020-01-16,314
2020-01-17,315
2020-01-18,37
2020-01-19,46
2020-01-20,180
2020-01-21,223
2020-01-22,248
2020-01-23,280
2020-01-24,290
2020-01-25,38
2020-01-26,43
2020-01-27,246
2020-01-28,317
2020-01-29,277
2020-01-30,237
2020-01-31,245
2020-02-01,66
2020-02-02,41
2020-02-03,226
2020-02-04,212
2020-02-05,307
2020-02-06,375
2020-02-07,303
2020-02-08,66
2020-02-09,63
2020-02-10,221
2020-02-11,327
2020-02-12,294
2020-02-13,254
2020-02-14,266
2020-02-15,34
2020-02-16,48
2020-02-17,222
2020-02-18,301
2020-02-19,318
2020-02-20,276
2020-02-21,289
2020-02-22,61
2020-02-23,35
2020-02-24,340
2020-02-25,265
2020-02-26,247
2020-02-27,245
2020-02-28,189
2020-02-29,46
2020-03-01,33
2020-03-02,255
2020-03-03,300
2020-03-04,270
2020-03-05,253
2020-03-06,243
2020-03-07,68
2020-03-08,27
2020-03-09,257
2020-03-10,265
2020-03-11,219
2020-03-12,224
2020-03-13,205
2020-03-14,56
2020-03-15,52
2020-03-16,192
2020-03-17,162
2020-03-18,201
2020-03-19,281
2020-03-20,300
2020-03-21,125
2020-03-22,125
2020-03-23,288
2020-03-24,239
2020-03-25,252
2020-03-26,190
2020-03-27,214
2020-03-28,68
2020-03-29,49
2020-03-30,106
2020-03-31,100
2020-04-01,61
2020-04-02,193
2020-04-03,248
2020-04-04,102
2020-04-05,72
2020-04-06,198
2020-04-07,192
2020-04-08,167
2020-04-09,210
2020-04-10,154
2020-04-11,87
2020-04-12,96
2020-04-13,222
2020-04-14,207
2020-04-15,212
2020-04-16,224
2020-04-17,231
2020-04-18,93
2020-04-19,112
2020-04-20,237
2020-04-21,214
2020-04-22,254
2020-04-23,253
2020-04-24,204
2020-04-25,67
2020-04-26,54
2020-04-27,192
2020-04-28,244
2020-04-29,253
2020-04-30,244
2020-05-01,256
2020-05-02,114
2020-05-03,50
2020-05-05,147
2020-05-06,154
2020-05-07,221
2020-05-08,258
2020-05-09,93
2020-05-10,54
2020-05-11,227
2020-05-12,278
2020-05-13,205
2020-05-14,244
2020-05-15,248
2020-05-16,93
2020-05-17,52
2020-05-18,266
2020-05-19,269
2020-05-20,247
2020-05-21,251
2020-05-22,238
2020-05-23,69
2020-05-24,64
2020-05-25,217
2020-05-26,234
2020-05-27,296
2020-05-28,279
2020-05-29,248
2020-05-30,66
2020-05-31,63
2020-06-01,179
2020-06-02,214
2020-06-03,179
2020-06-04,217
2020-06-05,238
2020-06-06,67
2020-06-07,63
2020-06-08,234
2020-06-09,240
2020-06-10,282
2020-06-11,302
2020-06-12,293
2020-06-13,98
2020-06-14,80
2020-06-15,213
2020-06-16,259
2020-06-17,236
2020-06-18,248
2020-06-19,208
2020-06-20,128
2020-06-21,71
2020-06-22,299
2020-06-23,249
2020-06-24,249
2020-06-25,288
2020-06-26,265
2020-06-27,116
2020-06-28,89
2020-06-29,159
2020-06-30,107
